DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA-NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
241507006,03/02/2024 12:00:00 AM,03/02/2024 12:00:00 AM,1415,15,N Hollywood,1535,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,11400    OXNARD                       ST,,34.1795,-118.379
241704064,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0620,17,Devonshire,1757,1,310,BURGLARY,0397 0344 1602 0216 0209 1300,29,M,H,221,PUBLIC STORAGE,,,IC,Invest Cont,310,,,,9900    BALBOA                       BL,,34.2503,-118.5024
240806491,03/03/2024 12:00:00 AM,03/02/2024 12:00:00 AM,2220,08,West LA,0884,1,330,BURGLARY FROM VEHICLE,0344,33,F,A,707,GARAGE/CARPORT,,,IC,Invest Cont,330,,,,2200 S  BENTLEY                      AV,,34.0407,-118.4371
241906617,03/11/2024 12:00:00 AM,03/02/2024 12:00:00 AM,1700,19,Mission,1961,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,PLUMMER,LANGDON,34.2428,-118.4698
242005402,02/02/2024 12:00:00 AM,02/01/2024 12:00:00 AM,2325,20,Olympic,2025,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,5TH,ALEXANDRIA,34.0654,-118.2979
241806958,03/03/2024 12:00:00 AM,03/02/2024 12:00:00 AM,1700,18,Southeast,1801,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,9000    ORCHARD                      AV,,33.9551,-118.2881
241006221,03/02/2024 12:00:00 AM,03/01/2024 12:00:00 AM,1600,10,West Valley,1063,1,330,BURGLARY FROM VEHICLE,1300 1822 1609 0329 0344 1402 1307 0358,29,M,W,101,STREET,,,IC,Invest Cont,330,998,,,18600    BURBANK                      BL,,34.1724,-118.5388
241406853,03/03/2024 12:00:00 AM,03/02/2024 12:00:00 AM,2345,14,Pacific,1494,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344,32,F,H,212,TRANSPORTATION FACILITY (AIRPORT),500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,440,,,,700    WORLD                        WY,,33.9431,-118.401
241204139,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0713,12,77th Street,1258,2,354,THEFT OF IDENTITY,0922 0935,28,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,200 E  76TH                         ST,,33.9713,-118.2712
240108352,03/03/2024 12:00:00 AM,03/02/2024 12:00:00 AM,1745,01,Central,0162,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,8TH                          ST,OLIVE                        ST,34.0452,-118.2569
241006228,03/02/2024 12:00:00 AM,02/29/2024 12:00:00 AM,0900,10,West Valley,1047,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,5900    BALBOA                       BL,,34.1773,-118.5013
242105372,02/02/2024 12:00:00 AM,02/02/2024 12:00:00 AM,0830,21,Topanga,2189,1,480,BIKE - STOLEN,0344,41,F,W,707,GARAGE/CARPORT,,,IC,Invest Cont,480,,,,20500    VENTURA                      BL,,34.1677,-118.5808
241305491,02/02/2024 12:00:00 AM,02/02/2024 12:00:00 AM,0900,13,Newton,1353,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 0913,38,F,B,504,OTHER RESIDENCE,,,IC,Invest Cont,420,,,,4300    MCKINLEY                     AV,,34.0057,-118.2609
240604755,01/02/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0001,06,Hollywood,0663,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1822 1300 0344 0329,25,M,W,108,PARKING LOT,,,IC,Invest Cont,331,,,,1100 N  SYCAMORE                     AV,,34.0907,-118.3428
241204529,01/04/2024 12:00:00 AM,01/02/2024 12:00:00 AM,0604,12,77th Street,1273,2,354,THEFT OF IDENTITY,0922,25,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,8700 S  NORMANDIE                    AV,,33.9564,-118.309
